𤭢	亠人人十瓦
仅	亻又
禁	木木示
劲	𢀖力
锦	钅白巾
巾	冂丨
筋	竹⺼力
津	氵聿
晋	亚日
斤	𠂆一丨
谨	讠廿中王
浸	氵⺕冖又
襟	衤木木示
矜	矛𠆢一㇇
瑾	𤣩廿中王
烬	火尺⺀
靳	革斤
噤	口木木示
觐	廿中王见
妗	女𠆢一㇇
缙	纟亚日
堇	廿中王
槿	木廿中王
衿	衤𠆢一㇇
荩	艹尺⺀
馑	饣廿中王
卺	了水一㔾
瑨	𤣩亚日
廑	广廿中王
琎	𤣩⻌井
赆	贝尺⺀
溍	氵亚日
祲	礻⺕冖又
浕	氵尺⺀
墐	土廿中王
殣	歹廿中王
珒	𤣩聿
𬬱	钅斤
经	纟𢀖
惊	忄亠口小
竟	立日儿
静	龶⺝⺈{肀亅}
精	米龶⺝
睛	目龶⺝
警	艹句攵亠二口
京	亠口小
境	土立日儿
景	日亠口小
敬	艹句攵
镜	钅立日儿
晶	日日日
净	冫⺈{肀亅}
径	彳𢀖
竞	立兄
井	廾一
靖	立龶⺝
荆	艹开刂
菁	艹龶⺝
阱	⻖井
兢	十兄十兄
憬	忄日亠口小
婧	女龶⺝
鲸	鱼亠口小
茎	艹𢀖
丼	井丶
旌	方𠂉生
痉	疒𢀖
泾	氵𢀖
迳	辶𢀖
璟	𤣩日亠口小
胫	⺼𢀖
儆	亻艹句攵
靓	龶⺝见
粳	米更
獍	犭立日儿
刭	𢀖刂
腈	⺼龶⺝
肼	⺼井
倞	亻亠口小
璥	𤣩艹句攵
麖	鹿亠口小
鼱	臼{鼠下}龶⺝
猄	犭亠口小
䴖	龶⺝鸟
汫	氵井
竫	立⺈{肀亅}
囧	囗八{囗-一}
炯	火冂口
窘	宀八尹口
迥	辶冂口
颎	匕火页
扃	户冂口
冏	冂八口
坰	土冂口
泂	氵冂口
䌹	⺰冂口
𬳶	马冂口
就	亠口小尤
酒	氵酉
久	⺈乀
九	丿㇈
究	宀八九
救	求攵
旧	丨日
舅	臼田力
纠	纟丩
疚	疒久
揪	扌禾火
咎	夂卜口
鹫	亠口小尤鸟
鸠	九鸟
啾	口禾火
臼	丿丨一𠃍一一
灸	久火
赳	土龰丩
厩	厂{艮}旡
柩	木匚久
玖	𤣩久
韭	非一
阄	门⺈电
僦	亻亠口小尤
鬏	E一厶彡禾火
桕	木臼
氿	氵九
㠇	山亠口小尤
巨	匚コ
举	𭕄一八𰀁
居	尸古
局	尸𠃌口
具	{具-八}八
据	扌尸古
聚	耳又丿{水}
剧	尸古刂
距	𧾷巨
惧	忄{具-八}八
拒	扌巨
俱	亻{具-八}八
矩	矢巨
菊	艹勹米
拘	扌句
沮	氵且
鞠	革勹米
狙	犭且
橘	木矛冂八口
驹	马句
飓	风{具-八}八
锯	钅尸古
咀	口且
踞	𧾷尸古
炬	火巨
掬	扌勹米
遽	辶虍豕
倨	亻尸古
雎	且亻{隹右}
钜	钅巨
踽	𧾷禹
裾	衤尸古
琚	𤣩尸古
疽	疒且
莒	艹口口
車	十田十
龃	止凵人且
苣	艹巨
榉	木𭕄一八𰀁
讵	讠巨
苴	艹且
鞫	革勹亠二口
焗	火尸𠃌口
椐	木尸古
锔	钅尸𠃌口
筥	竹口口
屦	尸彳米女
窭	宀八米女
醵	酉虍豕
蒟	艹立句
犋	牜{具-八}八
澽	氵虍豕
娵	女耳又
秬	禾巨
崌	山尸古
岠	山巨
砠	石且
腒	⺼尸古
弆	去廾
泃	氵句
岨	山且
趄	土龰且
䴗	目犬鸟
𬶋	鱼句
卷	龹㔾
娟	女口⺝
倦	亻龹㔾
捐	扌口⺝
眷	龹目
绢	纟口⺝
鹃	口⺝鸟
涓	氵口⺝
圈	囗龹㔾
隽	亻{隹右}乃
镌	钅亻{隹右}乃
蠲	丷一八皿⺫勹虫
狷	犭口⺝
鄄	覀土⻏
锩	钅龹㔾
桊	龹木
焆	火口⺝
绝	纟⺈巴
决	冫夬
爵	爫⺫艮寸
诀	讠夬
掘	扌尸出
厥	厂屰欠
倔	亻尸出
撅	扌厂屰欠
珏	𤣩玉
崛	山尸出
抉	扌夬
噘	口厂屰欠
攫	扌目目亻{隹右}又
谲	讠矛冂八口
獗	犭厂屰欠
蹶	𧾷厂屰欠
傕	亻冖亻{隹右}
蕨	艹厂屰欠
矍	目目亻{隹右}又
橛	木厂屰欠
镢	钅厂屰欠
玦	𤣩夬
孓	了乀
桷	木⺈用
觖	⺈用夬
爝	火爫⺫艮寸
劂	厂屰欠刂
玃	犭目目亻{隹右}又
砄	石夬
㵐	氵厂屰欠
𫔎	钅矛冂八口
𫘝	马夬
均	土匀
君	尹口
军	冖车
俊	亻允夂
郡	尹口⻏
峻	山允夂
钧	钅匀
骏	马允夂
菌	艹囗禾
竣	立允夂
浚	氵允夂
珺	𤣩尹口
麇	鹿禾
皲	冖车皮
焌	火允夂
葰	艹亻允夂
捃	扌尹口
畯	田允夂
莙	艹尹口
晙	日允夂
筠	竹土匀
鲪	鱼尹口
䐃	⺼囗禾
卡	上卜
喀	口宀夂口
咔	口上卜
胩	⺼上卜
开	一廾
凯	山己几
慨	忄{艮}旡
铠	钅山己
恺	忄山己
揩	扌匕匕白
锴	钅匕匕白
忾	忄气
闿	门山己
剀	山己刂
垲	土山己
锎	钅门开
炌	火介
蒈	艹匕匕白
看	龵目
堪	土卄二匸八
砍	石欠
刊	干刂
侃	亻口𫶧
坎	土欠
勘	卄二匸八力
阚	门{⿱𠃍耳}攵
瞰	目{⿱𠃍耳}攵
龛	𠆢一口龙
戡	卄二匸八戈
崁	山土欠
莰	艹土欠
衎	彳一丁干
磡	石卄二匸八力
嵁	山卄二匸八
墈	土卄二匸八力
抗	扌亠几
康	广隶
亢	亠几
炕	火亠几
慷	忄广隶
糠	米广隶
伉	亻亠几
钪	钅亠几
闶	门亠几
𡐓	土广隶
𩾌	鱼广隶
靠	⺧口非
考	耂丂
烤	火耂丂
铐	钅耂丂
拷	扌耂丂
犒	牜亠口冂口
尻	尸九
栲	木耂丂
㸆	火⺧口非
洘	氵耂丂
可	丁口
刻	亠{丩}人刂
克	十兄
客	宀夂口
科	禾斗
课	讠果
颗	果页
渴	氵曰勹𠃊人
柯	木可
棵	木果
壳	士冖几
氪	气十兄
磕	石去皿
嗑	口去皿
珂	𤣩可
苛	艹可
轲	车可
瞌	目去皿
坷	土可
恪	忄夂口
蝌	虫禾斗
颏	亠{丩}人页
窠	宀八果
稞	禾果
溘	氵去皿
疴	疒可
岢	山可
锞	钅果
髁	冎⺼果
骒	马果
缂	纟革
牁	爿可
匼	匚𠆢一口
炣	火可
剋	十兄刂
肯	止⺝
恳	艮心
啃	口止⺝
垦	艮土
裉	衤艮
坑	土亠几
铿	钅丨丨又土
硁	石𢀖
空	宀八工
恐	工凡心
控	扌宀八工
孔	子乚
崆	山宀八工
箜	竹宀八工
倥	亻宀八工
硿	石宀八工
埪	土宀八工
口	丨𠃍一
扣	扌口
寇	宀元⺊又
叩	口卩
抠	扌区
蔻	艹宀元⺊又
芤	艹子乚
筘	竹扌口
眍	目区
𫸩	弓区
苦	艹古
哭	口口犬
酷	酉⺧口
库	广车
裤	衤广车
枯	木古
骷	冎⺼古
窟	宀八尸出
绔	纟大一丂
喾	𰃮⺧口
刳	大一丂刂
矻	石𠂉乙
圐	囗罒方
夸	大一丂
跨	𧾷大一丂
垮	土大一丂
胯	⺼大一丂
挎	扌大一丂
侉	亻大一丂
姱	女大一丂
快	忄夬
块	土夬
筷	竹忄夬
蒯	艹月月刂
哙	口𠆢云
侩	亻𠆢云
脍	⺼𠆢云
狯	犭𠆢云
郐	𠆢云⻏
鲙	鱼𠆢云
㧟	扌氵匚
宽	宀艹见
款	士示欠
髋	冎⺼宀艹见
况	冫兄
狂	犭王
矿	石广
旷	日广
眶	目匚王
框	木匚王
匡	匚王
筐	竹匚王
哐	口匚王
邝	广⻏
诳	讠犭王
诓	讠匚王
圹	土广
纩	纟广
贶	贝兄
夼	大川
洭	氵匚王
𫛭	犭王鸟
亏	一丂
愧	忄鬼
盔	𠂇火皿
魁	鬼斗
窥	宀八夫见
奎	大土土
葵	艹癶天
傀	亻鬼
睽	目癶天
馈	饣中一贝
逵	辶土儿土
馗	九丷一自
匮	匚中一贝
喟	口田⺝
夔	丷頁止巳夂
篑	竹中一贝
岿	山リ彐
揆	扌癶天
聩	耳中一贝
跬	𧾷土土
愦	忄中一贝
悝	忄里
蝰	虫大土土
暌	日癶天
蒉	艹中一贝
櫆	木鬼斗
骙	马癶天
喹	口大土土
煃	火大土土
戣	癶天戈
𫠆	支页
困	囗木
昆	日匕匕
坤	土申
捆	扌囗木
鲲	鱼日匕匕
琨	𤣩日匕匕
锟	钅日匕匕
髡	E一厶彡兀
阃	门囗木
悃	忄囗木
堃	方方土
焜	火日匕匕
壸	士冖一业
鹍	日匕匕鸟
裈	衤冖车
醌	酉日匕匕
婫	女日匕匕
括	扌舌
扩	扌广
阔	门氵舌
廓	广亠口子⻏
蛞	虫舌
啦	口扌立
拉	扌立
辣	辛束
垃	土立
腊	⺼卄一日
喇	口束刂
蜡	虫卄一日
落	艹氵夂口
剌	束刂
邋	辶巛龱{鼠下}
旯	日九
瘌	疒束刂
砬	石立
镴	钅巛龱{鼠下}
蝲	虫束刂
鞡	革扌立
𬶟	鱼束刂
来	一丷木
莱	艹来
赖	束⺈贝
籁	竹束⺈贝
睐	目来
癞	疒束⺈贝
濑	氵束⺈贝
徕	彳来
崃	山来
涞	氵来
赉	来贝
俫	亻来
铼	钅来
梾	木来
蓝	艹丨丨𠂉丶皿
烂	火兰
懒	忄束⺈贝
拦	扌兰
篮	竹丨丨𠂉丶皿
岚	山风
兰	丷三
栏	木兰
览	丨丨𠂉丶见
澜	氵门柬
揽	扌丨丨𠂉丶见
滥	氵丨丨𠂉丶皿
婪	木木女
阑	门柬
榄	木丨丨𠂉丶见
斓	文门柬
缆	纟丨丨𠂉丶见
褴	衤丨丨𠂉丶皿
谰	讠门柬
罱	罒十冂丷干
襕	衤门柬
镧	钅门柬
漤	氵木木女
𬒗	石丨丨𠂉丶见
狼	犭良
浪	氵良
郎	良⻏
朗	良月
廊	广良⻏
螂	虫良⻏
琅	𤣩良
啷	口良⻏
榔	木良⻏
锒	钅良
阆	门良
烺	火良
蒗	艹氵良
莨	艹良
稂	禾良
崀	山良
㫰	日良
㮾	良月木
埌	土良
塱	良月土
桹	木良
筤	竹良
蓢	艹良月
老	耂匕
劳	艹冖力
牢	宀牛
姥	女老
捞	扌艹冖力
唠	口艹冖力
佬	亻老
烙	火夂口
酪	酉夂口
涝	氵艹冖力
崂	山艹冖力
嫪	女习习𠆢彡
痨	疒艹冖力
醪	酉习习𠆢彡
栳	木老
铑	钅老
耢	耒艹冖力
荖	艹老
铹	钅艹冖力
络	纟夂口
𫭼	土艹冖力
了	乛亅
乐	丿𠃊小
勒	革力
叻	口力
泐	氵⻖力
鳓	鱼革力
仂	亻力
簕	竹革力
嘞	口革力
雷	雨田
类	米大
泪	氵目
累	田糸
蕾	艹雨田
磊	石石石
垒	厶厶厶土
擂	扌雨田
肋	⺼力
儡	亻田田田
镭	钅雨田
羸	亡口月凡羊
檑	木雨田
耒	丰人
诔	讠耒
嫘	女田糸
酹	酉爫寸
缧	纟田糸
礌	石雨田
罍	田田田缶
藟	艹田田田
癗	疒雨田
冷	冫𠆢丶龴
愣	忄罒方
楞	木罒方
棱	木土儿夂
塄	土罒方
崚	山土儿夂
堎	土土儿夂
里	田土
力	𠃌丿
理	𤣩里
李	木子
立	亠䒑
离	亠凶禸
利	禾刂
梨	禾刂木
丽	一冂丶冂丶
历	厂力
礼	礻乚
厉	厂万
例	亻歹刂
莉	艹禾刂
黎	禾㇉丿人氺
璃	𤣩亠凶禸
励	厂万力
哩	口里
狸	犭里
粒	米立
隶	肀水
吏	古丿乀
栗	覀木
漓	氵亠凶禸
雳	雨厂力
厘	厂里
俐	亻禾刂
笠	竹立
沥	氵厂力
篱	竹亠凶禸
戾	户犬
鲤	鱼里
犁	禾刂牛
砾	石乐
荔	艹力力力
砺	石厂万
郦	丽⻏
藜	艹禾㇉丿人氺
骊	马一冂丶冂丶
俪	亻一冂丶冂丶
鹂	丽鸟
蠡	彑𧰨虫虫
栎	木乐
唳	口户犬
喱	口厂里
罹	罒忄亻{隹右}
痢	疒禾刂
莅	艹亻立
俚	亻里
逦	⻌一冂丶冂丶
呖	口厂力
蛎	虫厂万
猁	犭禾刂
澧	氵曲一口䒑
醴	酉曲一口䒑
娌	女里
蓠	艹亠凶禸
詈	⺫亠二口
黧	禾㇉丿{里}灬
蜊	虫禾刂
缡	纟亠凶禸
傈	亻覀木
枥	木厂力
溧	氵覀木
坜	土厂力
疠	疒万
粝	米厂万
嫠	未攵厂女
锂	钅里
篥	竹覀木
轹	车乐
鲡	鱼一冂丶冂丶
疬	疒厂力
苈	艹厂力
浬	氵里
跞	𧾷乐
浰	氵禾刂
鳢	鱼曲一口䒑
醨	酉亠凶禸
凓	冫覀木
朸	木力
㰀	木禾㇉丿人氺
珕	𤣩力力力
𫵷	山厂力
𬍛	𤣩乐
俩	亻两
连	⻌车
脸	⺼佥
联	耳丷天
练	纟𫠣
恋	亠{亦下}心
怜	忄𠆢丶龴
炼	火𫠣
莲	艹⻌车
链	钅⻌车
帘	宀八巾
廉	广兼
敛	佥攵
涟	氵⻌车
镰	钅广兼
琏	𤣩⻌车
濂	氵广兼
潋	氵佥攵
殓	歹佥
奁	大区
裢	衤⻌车
楝	木柬
裣	衤佥
鲢	鱼⻌车
梿	木⻌车
蠊	虫广兼
蔹	艹佥攵
瑓	𤣩柬
𬶠	鱼柬
两	一冂人人
量	日一里
亮	亠口冖几
良	丶艮
凉	冫亠口小
梁	氵刃丶木
辆	车两
粮	米良
谅	讠亠口小
踉	𧾷良
晾	日亠口小
粱	氵刃丶米
魉	鬼两
椋	木亠口小
辌	车亠口小
墚	土氵刃丶木
悢	忄良
俍	亻良
𫟅	纟亠口小
𬜯	艹两
聊	耳𠂎卩
料	米斗
疗	疒了
辽	辶了
廖	广习习𠆢彡
撩	扌大丷日小
寥	宀习习𠆢彡
僚	亻大丷日小
缭	纟大丷日小
燎	火大丷日小
撂	扌田夂口
獠	犭大丷日小
潦	氵大丷日小
镣	钅大丷日小
嘹	口大丷日小
瞭	目大丷日小
寮	宀大丷日小
蓼	艹习习𠆢彡
尥	尢勺
鹩	大丷日小鸟
嫽	女大丷日小
髎	冎⺼习习𠆢彡
钌	钅了
蹽	𧾷大丷日小
漻	氵习习𠆢彡
憭	忄大丷日小
簝	竹大丷日小
橑	木大丷日小
𪤗	土习习𠆢彡
列	歹刂
裂	歹刂衣
猎	犭卄一日
咧	口歹刂
烈	歹刂灬
劣	少力
冽	冫歹刂
趔	土龰歹刂
洌	氵歹刂
鬣	E一厶彡巛龱{鼠下}
捩	扌户犬
埒	土爫寸
躐	𧾷巛龱{鼠下}
峛	山歹刂
脟	⺼爫寸
䴕	歹刂鸟
𫚭	鱼巛龱{鼠下}
林	木木
临	〢𠂉丶𫩏
琳	𤣩木木
淋	氵木木
邻	𠆢丶龴⻏
麟	鹿米夕㐄
凛	冫亠囗口示
拎	扌𠆢丶龴
霖	雨木木
鳞	鱼米夕㐄
吝	文口
躏	𧾷艹门亻{隹右}
粼	米夕㐄巜
磷	石米夕㐄
嶙	山米夕㐄
蔺	艹门亻{隹右}
赁	亻丿士贝
懔	忄亠囗口示
辚	车米夕㐄
遴	辶米夕㐄
廪	广亠囗口示
潾	氵米夕㐄
檩	木亠囗口示
璘	𤣩米夕㐄
啉	口木木
瞵	目米夕㐄
膦	⺼米夕㐄
翷	米夕㐄习习
箖	竹木木
𬭸	钅米夕㐄
𬴊	马米夕㐄
令	𠆢丶龴
灵	彐火
领	𠆢丶龴页
另	口力
凌	冫土儿夂
玲	𤣩𠆢丶龴
零	雨𠆢丶龴
龄	止凵人𠆢丶龴
铃	钅𠆢丶龴
陵	⻖土儿夂
岭	山𠆢丶龴
菱	艹土儿夂
伶	亻𠆢丶龴
聆	耳𠆢丶龴
翎	𠆢丶龴习习
绫	纟土儿夂
〇	〇
羚	羊𠆢丶龴
呤	口𠆢丶龴
苓	艹𠆢丶龴
泠	氵𠆢丶龴
棂	木彐火
瓴	𠆢丶龴瓦
酃	雨口口口⻏
囹	囗𠆢丶龴
鲮	鱼土儿夂
蛉	虫𠆢丶龴
鸰	𠆢丶龴鸟
柃	木𠆢丶龴
舲	舟𠆢丶龴
澪	氵雨𠆢丶龴
昤	日𠆢丶龴
祾	礻土儿夂
姈	女𠆢丶龴
㥄	忄土儿夂
坽	土𠆢丶龴
流	氵厶一𫶧
刘	文刂
留	{丿𠄌丶}刀田
六	亠八
柳	木𠂎卩
溜	氵{丿𠄌丶}刀田
琉	𤣩厶一𫶧
榴	木{丿𠄌丶}刀田
浏	氵文刂
瘤	疒{丿𠄌丶}刀田
硫	石厶一𫶧
遛	辶{丿𠄌丶}刀田
陆	⻖击
绺	纟夂卜口
鎏	氵厶一𫶧金
馏	饣{丿𠄌丶}刀田
骝	马{丿𠄌丶}刀田
镏	钅{丿𠄌丶}刀田
旒	方𠂉厶一𫶧
镠	钅习习𠆢彡
锍	钅厶一𫶧
熘	火{丿𠄌丶}刀田
鹨	习习𠆢彡鸟
飗	风{丿𠄌丶}刀田
瑬	氵厶一𫶧玉
珋	𤣩𠂎卩
罶	罒{丿𠄌丶}刀田
鹠	{丿𠄌丶}刀田鸟
疁	田习习𠆢彡
碌	石彐⺢
龙	尤丿
隆	⻖夂一生
笼	竹龙
拢	扌龙
胧	⺼龙
珑	𤣩龙
咙	口龙
聋	龙耳
垄	龙土
窿	宀八⻖夂一生
陇	⻖龙
泷	氵龙
茏	艹龙
眬	目龙
栊	木龙
砻	龙石
哢	口王廾
昽	日龙
癃	疒⻖夂一生
漋	氵⻖夂一生
弄	王廾
𬕂	竹工贝
楼	木米女
搂	扌米女
漏	氵尸雨
髅	冎⺼米女
露	雨𧾷夂口
陋	⻖𠃊一内
喽	口米女
娄	米女
篓	竹米女
镂	钅米女
偻	亻米女
蝼	虫米女
耧	耒米女
蒌	艹米女
瘘	疒米女
嵝	山米女
溇	氵米女
䁖	目米女
剅	豆刂
𦝼	⺼米女
𪣻	土米女
路	𧾷夂口
鲁	鱼日
录	彐⺢
撸	扌鱼日
卢	⺊尸
鹿	广〢コ匕匕
炉	火户
芦	艹户
禄	礻彐⺢
虏	虍力
璐	𤣩𧾷夂口
噜	口鱼日
戮	习习𠆢彡戈
颅	⺊尸页
庐	广户
漉	氵鹿
掳	扌虍力
辘	车鹿
赂	贝夂口
麓	木木鹿
卤	⺊口㐅
鹭	𧾷夂口鸟
泸	氵⺊尸
潞	氵𧾷夂口
橹	木鱼日
辂	车夂口
箓	竹彐⺢
胪	⺼⺊尸
鲈	鱼⺊尸
轳	车⺊尸
垆	土⺊尸
渌	氵彐⺢
逯	辶彐⺢
鸬	⺊尸鸟
甪	丿用
蕗	艹𧾷夂口
舻	舟⺊尸
栌	木⺊尸
簏	竹鹿
菉	艹彐⺢
氇	毛鱼日
僇	亻习习𠆢彡
琭	𤣩彐⺢
镥	钅鱼日
勠	习习𠆢彡力
稑	禾土儿土
绿	纟彐⺢
澛	氵鱼日
𫘧	马彐⺢
𬬻	钅⺊尸
乱	舌乚
卵	𠂎丶卩丶
鸾	亠丿丨丨丶鸟
峦	亠{亦下}山
挛	亠{亦下}手
銮	亠{亦下}金
孪	亠{亦下}子
栾	亠{亦下}木
滦	氵亠{亦下}木
脔	亠{亦下}肉
娈	亠{亦下}女
论	讠仑
伦	亻仑
轮	车仑
仑	𠆢匕
沦	氵仑
抡	扌仑
囵	囗仑
𫭢	土仑
𬬭	钅仑
罗	罒夕
洛	氵夂口
裸	衤果
逻	⻌罒夕
骆	马夂口
萝	艹⺫夕
螺	虫田糸
锣	钅罒夕
啰	口罒夕
珞	𤣩夂口
骡	马田糸
摞	扌田糸
雒	夂口亻{隹右}
荦	艹冖牛
箩	竹罒夕
椤	木罒夕
猡	犭罒夕
蠃	亡口月凡虫
脶	⺼口内
漯	氵田糸
倮	亻果
捋	扌爫寸
瘰	疒田糸
泺	氵乐
蓏	艹瓜瓜
律	彳聿
率	亠幺冫丿丶十
旅	方𠂉{𧘇}
吕	口口
缕	纟米女
侣	亻口口
驴	马户
屡	尸米女
履	尸彳𠂉日夂
滤	氵虍心
虑	虍心
褛	衤米女
铝	钅口口
闾	门口口
榈	木门口口
氯	气彐⺢
膂	方𠂉{𧘇}⺝
稆	禾口口
葎	艹彳聿
垏	土聿
梠	木口口
略	田夂口
掠	扌亠口小
锊	钅爫寸
䂮	丰刀石
圙	囗八面
吗	口马
马	𠃌㇉一
妈	女马
麻	广木木
嘛	口广木木
骂	口口马
码	石马
玛	𤣩马
抹	扌末
蚂	虫马
蟆	虫艹日大
犸	犭马
杩	木马
祃	礻马
摩	广木木手
买	乛大⺀
卖	十乛大⺀
埋	土里
脉	⺼永
麦	龶夂
迈	⻌万
霾	雨豸里
劢	万力
唛	口龶夂
荬	艹乛大⺀
鿏	钅龶夂
满	氵艹两
慢	忄⺜⺫又
漫	氵⺜⺫又
曼	⺜⺫又
蛮	亠{亦下}虫
瞒	目艹两
蔓	艹⺜⺫又
馒	饣⺜⺫又
幔	巾⺜⺫又
谩	讠⺜⺫又
鳗	鱼⺜⺫又
缦	纟⺜⺫又
嫚	女⺜⺫又
墁	土⺜⺫又
颟	艹两页
螨	虫艹两
鞔	革⺈𫩏儿
镘	钅⺜⺫又
鬘	E一厶彡⺜⺫又
𬜬	艹门口
忙	忄亡
芒	艹亡
茫	艹氵亡
氓	亡民
莽	艹犬廾
盲	亡目
蟒	虫艹犬廾
邙	亡⻏
漭	氵艹犬廾
牤	牜亡
硭	石艹亡
尨	龙丿丿
牻	牜龙丿丿
厖	厂龙丿丿
杧	木亡
毛	丿一一乚
冒	⺜目
貌	豸白儿
猫	犭艹田
矛	予丿
帽	巾⺜目
贸	{丿𠄌丶}刀贝
茂	艹戊
茅	艹矛
冇	𠂇冂
髦	E一厶彡毛
卯	𠂎卩
锚	钅艹田
袤	衣矛
瑁	𤣩⺜目
懋	木矛木心
牦	牜毛
铆	钅𠂎卩
昴	日𠂎卩
耄	老毛
蟊	矛虫虫
峁	山𠂎卩
旄	方𠂉毛
楙	木矛木
泖	氵𠂎卩
瞀	矛攵目
茆	艹𠂎卩
蝥	矛攵虫
芼	艹毛
眊	目毛
鄚	艹日大⻏
么	丿厶
没	氵殳
美	𦍌大
每	𠂉母
妹	女未
眉	𠃜目
梅	木𠂉母
媚	女𠃜目
魅	鬼未
玫	𤣩攵
枚	木攵
媒	女甘木
霉	雨𠂉母
昧	日未
煤	火甘木
寐	宀爿未
嵋	山𠃜目
莓	艹𠂉母
湄	氵𠃜目
袂	衤夬
楣	木𠃜目
酶	酉𠂉母
镁	钅𦍌大
郿	𠃜目⻏
浼	氵⺈𫩏儿
鹛	𠃜目鸟
镅	钅𠃜目
渼	氵𦍌大
糜	广木木米
媄	女𦍌大
瑂	𤣩𠃜目
们	亻门
门	丶丨𠃌
闷	门心
懑	氵艹两心
扪	扌门
焖	火门心
钔	钅门
呇	水口
𫞩	𤣩艹两
梦	木木夕
猛	犭子皿
蒙	艹冖一豕
孟	子皿
盟	日月皿
朦	月艹冖一豕
萌	艹日月
懵	忄艹罒冖目
檬	木艹冖一豕
蜢	虫子皿
勐	子皿力
虻	虫亡
艨	舟艹冖一豕
锰	钅子皿
幪	巾艹冖一豕
艋	舟子皿
蠓	虫艹冖一豕
瞢	艹罒冖目
甍	艹罒冖瓦
獴	犭艹冖一豕
礞	石艹冖一豕
㠓	山艹冖一豕
鹲	艹冖一豕鸟
𫑡	口电⻏
密	宀必山
米	丷木
迷	辶米
弥	弓⺈小
蜜	宀必虫
眯	目米
咪	口米
谜	讠辶米
觅	爫见
靡	广木木非
谧	讠必皿
祢	礻⺈小
芈	卝𰀁
麋	鹿米
弭	弓耳
汨	氵日
猕	犭弓⺈小
幂	冖日大巾
縻	广木木糸
蘼	艹广木木非
醚	酉辶米
祕	礻必
敉	米攵
嘧	口宀必山
蓂	艹冖日六
脒	⺼米
洣	氵米
醾	酉广木木米
面	丆囗{丨丨二}
免	⺈𫩏儿
勉	⺈𫩏儿力
绵	纟白巾
眠	目民
棉	木白巾
缅	纟面
冕	⺜⺈𫩏儿
腼	⺼面
娩	女⺈𫩏儿
湎	氵面
沔	氵丏
渑	氵口电
眄	目丏
丏	丐丨
勔	面力
愐	忄面
偭	亻面
𩾃	鱼⺈𫩏儿
妙	女少
秒	禾少
描	扌艹田
苗	艹田
庙	广由
渺	氵目少
瞄	目艹田
淼	水水水
喵	口艹田
缈	纟目少
藐	艹豸白儿
邈	辶豸白儿
眇	目少
杪	木少
鹋	艹田鸟
缪	纟习习𠆢彡
灭	一火
蔑	艹⺫戊丶
乜	𠃌乚
咩	口羊
篾	竹⺫戊丶
民	𠃍一亅一乚
敏	𠂉母攵
抿	扌民
悯	忄门文
闵	门文
珉	𤣩民
泯	氵民
闽	门虫
皿	冂丨丨一
岷	山民
旻	日文
缗	纟民日
愍	民攵心
湣	氵民日
黾	口电
忞	文心
鳘	𠂉母攵鱼
苠	艹民
明	日月
名	夕口
命	𠆢一口卩
鸣	口鸟
冥	冖日六
铭	钅夕口
茗	艹夕口
瞑	目冖日六
溟	氵冖日六
酩	酉夕口
暝	日冖日六
螟	虫冖日六
洺	氵夕口
谬	讠习习𠆢彡
魔	广木木鬼
莫	艹日大
默	{里}灬犬
模	木艹日大
摸	扌艹日大
磨	广木木石
末	一木
漠	氵艹日大
墨	{里}灬土
麽	广木木么
陌	⻖百
寞	宀艹日大
蓦	艹日大马
沫	氵末
膜	⺼艹日大
茉	艹末
嬷	女广木木么
蘑	艹广木木石
摹	艹日大手
馍	饣艹日大
谟	讠艹日大
嫫	女艹日大
秣	禾末
殁	歹殳
貊	豸百
靺	革末
貘	豸艹日大
镆	钅艹日大
瘼	疒艹日大
耱	耒广木木石
万	丆𠃌
无	一尢
藦	艹广木木手
𬙊	纟{里}灬土
某	甘木
谋	讠甘木
眸	目厶牛
牟	厶牛
哞	口厶牛
鍪	矛攵金
侔	亻厶牛
蛑	虫厶牛
目	囗二
母	{𠃊𠃌一(母-丶丶)}丶丶
木	十人
慕	艹日大⺗
幕	艹日大巾
姆	女母
穆	禾白小彡
牧	牜攵
墓	艹日大土
沐	氵木
暮	艹日大日
拇	扌母
牡	牜土
亩	亠田
募	艹日大力
睦	目土儿土
苜	艹目
呒	口无
钼	钅目
毪	毛厶牛
仫	亻么
𧿹	𧾷母
𬭁	钅母
那	𭃂⻏
哪	口𭃂⻏
拿	𠆢一口手
娜	女𭃂⻏
纳	纟内
呐	口内
捺	扌大示
衲	衤内
钠	钅内
肭	⺼内
镎	钅𠆢一口手
乸	也母
南	十冂丷干
𦰡	艹𭃂⻏
奶	女乃
奈	大示
耐	而寸
乃	𠄎丿
鼐	乃爿片目
氖	气乃
萘	艹大示
艿	艹乃
柰	木示
佴	亻耳
迺	辶西
难	又亻{隹右}
男	田力
喃	口十冂丷干
楠	木十冂丷干
囡	囗女
赧	赤卩又
腩	⺼十冂丷干
蝻	虫十冂丷干
萳	艹十冂丷干
婻	女十冂丷干
囊	𰀉冖吅𠀎𧘇
囔	口𰀉冖吅𠀎𧘇
馕	饣𰀉冖吅𠀎𧘇
攮	扌𰀉冖吅𠀎𧘇
曩	日襄
齉	自田丌𰀉冖吅𠀎𧘇
脑	⺼亠凶
闹	门亠巾
恼	忄亠凶
挠	扌𫠠丿兀
瑙	𤣩巛丿囗㐅
孬	不女子
呶	口女又
淖	氵⺊日十
猱	犭矛木
铙	钅𫠠丿兀
