𤭢	亠人人十瓦
嚓	口宀𱼀龴示
才	𬺰丿
菜	艹采
彩	采彡
采	爫木
财	贝才
材	木才
猜	犭龶⺝
蔡	艹𱼀龴示
裁	戈十衣
踩	𧾷采
睬	目采
偲	亻田心
参	厶大彡
残	歹戋
惨	忄厶大彡
餐	歺又𠆢丶艮
灿	火山
惭	忄车斤
蚕	天虫
璨	𤣩歺又米
粲	歺又米
骖	马厶大彡
黪	{里}灬厶大彡
䅟	禾厶大彡
藏	艹𠃊丆戊臣
苍	艹𠆢㔾
仓	𠆢㔾
舱	舟𠆢㔾
沧	氵𠆢㔾
伧	亻𠆢㔾
鸧	仑{鳥-灬}灬
草	艹日十
操	扌口口口木
肏	入肉
艹	一〢
曹	艹曲曰
嘈	口艹曲曰
糙	米辶⺧口
槽	木艹曲曰
漕	氵艹曲曰
屮	凵丨
芔	屮屮屮
艚	舟艹曲曰
螬	虫艹曲曰
𥕢	石艹曲曰
测	氵贝刂
侧	亻贝刂
册	⺆⺆一
策	竹朿
厕	厂贝刂
恻	忄贝刂
岑	山𠆢一㇇
涔	氵山𠆢一㇇
曾	丷囗⺌日
层	尸云
蹭	𧾷丷囗⺌日
噌	口丷囗⺌日
嶒	山丷囗⺌日
差	⺶工
查	木旦
察	宀𱼀龴示
茶	艹𠆢朩
插	扌千臼
诧	讠宀丿七
叉	又丶
岔	分山
茬	艹𠂇丨土
衩	衤叉
碴	石木旦
姹	女宀丿七
杈	木叉
搽	扌艹𠆢朩
刹	㐅木刂
檫	木宀𱼀龴示
槎	木⺶工
汊	氵叉
镲	钅宀𱼀龴示
锸	钅千臼
馇	饣木旦
垞	土宀丿七
侘	亻宀丿七
猹	犭木旦
蹅	𧾷木旦
嵖	山木旦
喳	口木旦
𥻗	米木旦
拆	扌斥
柴	止匕木
钗	钅叉
豺	豸才
侪	亻齐
茝	艹𦣞
虿	万虫
瘥	疒⺶工
产	亠丷厂
颤	亠囗口旦页
缠	纟广里
禅	礻𭕄田十
蝉	虫丷田十
搀	扌⺈𫩏儿⺀
铲	钅亠丷厂
婵	女丷田十
掺	扌厶大彡
阐	门丷田十
忏	忄千
馋	饣⺈𫩏儿⺀
潺	氵尸子子子
蟾	虫⺈厂八亠二口
谄	讠⺈臼
谗	讠⺈𫩏儿⺀
孱	尸子子子
冁	丷田十尸卄一{𧘇-丿}
澶	氵亠囗口旦
觇	占见
镡	钅覀日十
羼	尸羊⺶羊
廛	广里八土
巉	山⺈口匕匕兔
蒇	艹戊贝
韂	革⺈厂八亠二口
躔	𧾷广里八土
刬	戋刂
浐	氵亠丷厂
襜	衤⺈厂八亠二口
瀍	氵广里八土
骣	马尸子子子
镵	钅⺈口匕匕兔
旵	日山
啴	口丷田十
梴	木廴正
儳	亻⺈口匕匕兔
单	丷田十
辿	辶山
𬊤	火丷田十
长	丿一𠄌ㄟ
常	龸口巾
场	土𠄎丿丿
唱	口日曰
厂	一丿
尝	龸云
昌	日曰
畅	申𠄎丿丿
肠	⺼𠄎丿丿
偿	亻龸云
敞	⺌冂口攵
怅	忄长
倡	亻日曰
娼	女日曰
嫦	女龸口巾
猖	犭日曰
昶	永日
徜	彳⺌冂口
氅	⺌冂口攵毛
伥	亻长
裳	龸口衣
菖	艹日曰
苌	艹长
阊	门日曰
鬯	凵㐅丶丶丶丶匕
惝	忄⺌冂口
鲳	鱼日曰
鲿	鱼龸云
𬬮	钅长
超	土龰刀口
朝	十十日月
潮	氵十十日月
吵	口少
嘲	口十十日月
抄	扌少
炒	火少
巢	巛果
钞	钅少
晁	日兆
焯	火⺊日十
耖	耒少
怊	忄刀口
弨	弓刀口
绰	纟⺊日十
车	一𠃊十
彻	彳七刀
扯	扌止
撤	扌亠厶⺝攵
澈	氵亠厶⺝攵
掣	牛冂刂手
砗	石车
坼	土斥
尺	尸乀
㬚	日亠厶⺝攵
沉	氵冖几
陈	⻖东
臣	匚コ丨丨
晨	日辰
尘	小土
趁	土龰𠆢彡
辰	厂二{𧘇-丿}
衬	衤寸
嗔	口十{具-八}八
琛	𤣩⺳木
称	禾⺈小
宸	宀辰
忱	忄冖儿
抻	扌申
碜	石厶大彡
谌	讠卄二匸八
谶	讠戈人人韭
郴	木木⻏
棽	木木𠆢一㇇
瞋	目十{具-八}八
榇	木立木
龀	止凵人匕
疢	疒火
梣	木山𠆢一㇇
煁	火卄二匸八
𬘭	纟木木
成	戊𠃌
城	土成
程	禾口王
承	了三㇇丿乀
诚	讠成
盛	成皿
乘	千北人
撑	扌龸口手
呈	口王
惩	彳正心
丞	了水一
澄	氵癶一口䒑
逞	辶口王
橙	木癶一口䒑
骋	马由丂
瞠	目龸口土
秤	禾平
铖	钅成
塍	月龹土
琤	𤣩⺈{肀亅}
裎	衤口王
澂	氵山一王攵
埕	土口王
柽	木又土
蛏	虫又土
酲	酉口王
枨	木长
珵	𤣩口王
赪	赤⺊贝
偁	亻爫冉
宬	宀成
牚	龸口牙
珹	𤣩成
憕	忄癶一口䒑
庱	广土儿夂
晟	日成
铛	钅⺌彐
吃	口𠂉乙
持	扌土寸
迟	⻌尺
赤	土{亦下}
痴	疒矢口
池	氵也
齿	止凵人
斥	斤丶
驰	马也
耻	耳止
翅	支习习
哧	口赤
炽	火只
嗤	口屮一虫
蚩	屮一虫
叱	口𠤎
弛	弓也
侈	亻夕夕
啻	亠丷冖巾口
敕	束攵
螭	虫亠凶禸
魑	鬼亠凶禸
饬	饣𠂉力
笞	竹厶口
匙	日一龰匕
踟	𧾷矢口
墀	土尸八小牛
豉	豆支
媸	女屮一虫
褫	衤𠂆虍几
鸱	氐鸟
彳	丿亻
茌	艹亻士
篪	竹𠂆虍几
瘛	疒丰刀心
摛	扌亠凶禸
眵	目夕夕
傺	亻𱼀龴示
漦	未攵厂水
胣	⺼𠂉也
瓻	㐅𠂇巾瓦
痓	疒𠫔土
𫄨	纟㐅𠂇巾
冲	冫中
充	亠允
重	千里
虫	中一丶
崇	山宀示
宠	宀龙
忡	忄中
憧	忄立里
铳	钅亠允
舂	𡗗臼
艟	舟立里
翀	习习中
茺	艹亠允
珫	𤣩亠允
漴	氵山宀示
涌	氵龴用
种	禾中
㳘	氵亠允
摏	扌𡗗臼
抽	扌由
仇	亻九
臭	自犬
丑	𠃍土
愁	禾火心
筹	竹{寿上丰}寸
瞅	目禾火
酬	酉州
绸	纟⺆土口
畴	田{寿上丰}寸
踌	𧾷{寿上丰}寸
惆	忄⺆土口
稠	禾⺆土口
俦	亻{寿上丰}寸
雠	亻{隹右}亻{隹右}讠
瘳	疒习习𠆢彡
犨	亻{隹右}亻{隹右}牛
帱	巾{寿上丰}寸
杻	木丑
侴	𠆢一丑刂
椆	木⺆土口
出	山山
处	夂卜
楚	木木疋
除	⻖𠆢一朩
初	衤刀
触	⺈用虫
厨	厂豆寸
础	石出
储	亻讠耂日
畜	玄田
褚	衤耂日
搐	扌玄田
橱	木厂豆寸
躇	𧾷艹耂日
雏	⺈彐亻{隹右}
锄	钅且力
矗	十{具-八}直十{具-八}
杵	木𠂉十
楮	木耂日
怵	忄术
黜	{里}灬出
绌	纟出
蜍	虫𠆢一朩
刍	⺈彐
滁	氵⻖𠆢一朩
樗	木雨一丂
蹰	𧾷厂豆寸
憷	忄木木疋
亍	一丁
俶	亻上小又
斶	斤⺫勹虫
摴	扌雨一丂
䝙	豸区
䢺	出⻏
濋	氵木木疋
琡	𤣩上小又
𬺓	止凵人木木疋
欻	火火欠
揣	扌山而
踹	𧾷山而
搋	扌𠂆虍几
啜	口又又又又
传	亻专
穿	宀八牙
船	舟𠘧口
川	丿〢
喘	口山而
串	口口丨
钏	钅川
